Condition,Model,RAG_type,n_start,n_cross_removed,n_weak_removed,n_final,pct_retained,DAAL_acc_before,DAAL_acc_after,mean_disc_before,mean_disc_after,mean_cosine_sim,residual_rmse
deepseek × No-RAG,deepseek,No-RAG,80,6,0,74,92.5,97.5,98.6,0.1191,0.1203,0.4597,0.2162
deepseek × RAG,deepseek,RAG,79,13,0,66,83.5,89.9,97.0,0.1178,0.1291,0.4748,0.2156
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,80,8,0,72,90.0,93.8,94.4,0.1146,0.1214,0.4548,0.1922
gemini × No-RAG,gemini,No-RAG,80,2,0,78,97.5,50.0,48.7,0.1109,0.1097,0.4633,0.222
gemini × RAG,gemini,RAG,80,5,0,75,93.8,52.5,50.7,0.0837,0.0789,0.4446,0.2234
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,80,6,0,74,92.5,86.2,85.1,0.1151,0.1201,0.4694,0.1983
gpt × No-RAG,gpt,No-RAG,80,10,0,70,87.5,90.0,92.9,0.1065,0.1095,0.4338,0.1975
gpt × RAG,gpt,RAG,80,17,0,63,78.8,83.8,92.1,0.1144,0.1224,0.4728,0.2084
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,80,7,0,73,91.2,55.0,54.8,0.1126,0.1127,0.467,0.2292
llama × No-RAG,llama,No-RAG,77,9,0,68,88.3,76.6,79.4,0.0956,0.1035,0.4472,0.1912
llama × RAG,llama,RAG,72,6,0,66,91.7,97.2,98.5,0.102,0.1103,0.4813,0.1774
llama × Re-Ranked RAG,llama,Re-Ranked RAG,72,5,0,67,93.1,98.6,100.0,0.0955,0.1015,0.4412,0.172
