Model,Condition,n_start (EGA),n_final (EFA),DAAL%,mean_disc,n_neg_disc,NMI_init,NMI_final,NMI_Δ,EGA_match%,EGA_kept,RMSE
llama,No-RAG,77,68,79.4,0.1035,6,35.6,74.8,39.2,100.0,22,0.1912
gpt,No-RAG,80,70,92.9,0.1095,7,34.2,71.1,36.9,100.0,24,0.1975
llama,Re-Ranked RAG,72,67,100.0,0.1015,11,52.4,69.2,16.8,100.0,23,0.172
gpt,RAG,80,63,92.1,0.1224,7,54.1,67.7,13.7,100.0,40,0.2084
deepseek,RAG,79,66,97.0,0.1291,4,33.0,67.3,34.4,100.0,28,0.2156
gemini,No-RAG,80,78,48.7,0.1097,12,30.7,67.1,36.4,100.0,29,0.222
llama,RAG,72,66,98.5,0.1103,9,58.0,67.1,9.1,100.0,36,0.1774
deepseek,No-RAG,80,74,98.6,0.1203,5,43.3,59.9,16.6,97.6,41,0.2162
gpt,Re-Ranked RAG,80,73,54.8,0.1127,9,51.8,52.2,0.4,95.3,43,0.2292
deepseek,Re-Ranked RAG,80,72,94.4,0.1214,4,38.2,51.6,13.4,96.0,25,0.1922
gemini,Re-Ranked RAG,80,74,85.1,0.1201,7,34.0,44.3,10.3,89.7,29,0.1983
gemini,RAG,80,75,50.7,0.0789,14,16.9,30.3,13.4,85.2,27,0.2234
